source,title,price,price_text,area_m2,district,ward,address,description,posted_at,url,crawled_at
nhatot,"Cho thuê phòng  trọ tầng trệt rông 45m2 -1pk, 1 pn 🌷Nội thất cơ bản",5000000,5 triệu/tháng,45,Quận Sơn Trà,Phường Thọ Quang,"16.1012727,108.254965","❤️❤️❤️CHO Thuê Phòng điều hoà.
 tầng trệt :gồm: 1PN, 1 pk,1wc,bếp….• Diện tích SD:45m2(5x9m)
💰giá 5 trphòng.
➡️phù hợp với  khách lưu trú ,đi công tác…..
➡️Điện nước theo đầu người-g☎️Phone: ***• nhà gần biển,núi Sơn Trà ,chùa linh ứng• Đầy đủ nội thất, trang thiết bị hiện đại• khu yên tĩnh, thoáng mát, sang trọng Giờ giấc tự do,(ko nhận khách Nn-cám ơn)….. địa chỉ đường thành vinh 3-Sơn Trà.Lh :",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/132037686,2026-05-14T16:52:22
nhatot,phòng full nội thất,5000000,5 triệu/tháng,35,Quận Thanh Khê,Phường Thạc Gián,"16.0630138,108.2087526","Dự án: 
Thông tin chi tiết: 🌟 CÒN *** 1 PHÒNG TẦNG 2 – DỌN VÀO ĐẦU THÁNG 6 🌟

📍 Khu vực Phan Thanh – vị trí cực tiện:

* Gần trường học, bệnh viện
* Cách siêu thị Aone, Go Mart chỉ vài phút
* Khu dân cư yên tĩnh, an ninh, phù hợp ở lâu dài

🏡 Phòng full nội thất, sạch sẽ, chỉ xách vali vào ở:
✔️ Giường, tủ, máy lạnh, nóng lạnh đầy đủ
✔️ Không gian thoáng, có cửa sổ đón ánh sáng tự nhiên
✔️ Khu vực riêng tư, yên tĩnh – nghỉ ngơi cực chill sau ngày dài

💡 Ưu điểm nổi bật:

* Ít phòng nên rất riêng tư, không ồn ào
* Hàng xóm văn minh, dễ chịu
* Phù hợp sinh viên, người đi làm, ở 1–2 người

🔥 Chỉ còn đúng 1 phòng – ai nhanh thì còn!
👉 Đầu tháng 6 dọn vào ngay

📞 Liên hệ giữ phòng: ***

💬 Tip nhỏ: Khu này phòng đẹp thường hết rất nhanh, nếu bạn đang tìm chỗ ở ổn định, tiện đi lại thì nên chốt sớm để giữ được phòng ưng ý nha!",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/132349902,2026-05-14T16:52:22
nhatot,"Cho thuê phòng ở 25m2, tầng 2, mặt tiền Hoàng Hoa Thám, Đà Nẵng.",4000000,4 triệu/tháng,25,Quận Thanh Khê,Phường Tân Chính,"16.0688703,108.2098566","Cho thuê phòng ở (23-25) m2, tầng 2, nhà mặt tiền Hoàng Hoa Thám; với Nam, độc thân, là CBNV, sinh viên...  Tối đa 02 người. Nội thất trống. 4 tr.đ/ tháng; Cọc (01-02) tháng, theo thời gian thuê; Thanh toán 03 tháng. LH: ĐT/ Zalo: ***.",hôm qua,https://gateway.chotot.com/v1/public/ad-listing/132345578,2026-05-14T16:52:22
nhatot,Cho thuê căn hộ đường Đỗ Quang,5800000,"5,8 triệu/tháng",25,Quận Thanh Khê,Phường Vĩnh Trung,"16.0630096,108.2131865","Cho thuê căn hộ đầy đủ nội thất, đường Đỗ Quang, gần đại học Duy Tân, Sân Bay. Trung tâm Hải Châu, Thanh Khê. Liên hệ ***.",2 ngày trước,https://gateway.chotot.com/v1/public/ad-listing/132310109,2026-05-14T16:52:22
nhatot,cho thuê phòng căn hộ nội thất đầy đủ,4200000,"4,2 triệu/tháng",30,Quận Cẩm Lệ,Phường Hòa An,"16.049198,108.1738597","Dự án: 
Thông tin chi tiết: Phòng ngay cổng phụ bến xe trung tâm.   ko chung chủ . 



Phòng căn hộ hai mặt thoáng dưới đất . Ngay cổng phụ bến xe trung tâm. Mặt tiền đường Lê Thạch. 
 Cho thuê đầu tháng 6 này. 
Thích họp ae tài xế . Sinh viên ở đc 3 đến 4 người",2 ngày trước,https://gateway.chotot.com/v1/public/ad-listing/132337355,2026-05-14T16:52:22
nhatot,Phòng trọ cao cấp gần sân VĐ Hòa Xuân.,3500000,"3,5 triệu/tháng",20,Quận Cẩm Lệ,Phường Hòa Xuân,"16.0001284,108.2201821","Nội thất đẹp, đủ công năng, nhà vệ sinh, bếp, gác lững. có điều hòa, máy nước nóng, quạt treo tường.",2 ngày trước,https://gateway.chotot.com/v1/public/ad-listing/132335790,2026-05-14T16:52:22
nhatot,"Trần Tấn, Liên Chiểu - Chỉ còn 1 phòng cho thuê mới xây, đẹp",3300000,"3,3 triệu/tháng",35,Quận Liên Chiểu,Phường Hòa Hiệp Nam,"16.1010422,108.1341215","Chính chủ cho thuê phòng trọ mới xây (chỉ còn 01 phòng), không chung chủ, tại Trần Tấn, quận Liên Chiểu, Đà Nẵng.
Khu vực thuận tiện di chuyển đến ĐH Bách Khoa, ĐH Sư Phạm, CĐ Kinh Tế.

Thông tin phòng:
- Diện tích: 35m²
- Có gác rộng, đẹp

- Phòng mới, sạch đẹp, thoáng mát
- Có cửa sổ, ánh sáng tự nhiên

Trang bị:
- Điều hòa
- Nước nóng lạnh
- Kệ chén
- Máy giặt chung
- Wifi mạnh

Tiện ích:
- Khu để xe rộng rãi
- Khu dân cư an ninh
- Phù hợp sinh viên hoặc gia đình nhỏ (tối đa 3 người lớn)

Chi phí:
- Giá thuê: 3.300.000đ/tháng
- Điện: 3.800đ/kWh
- Nước: 50.000đ/người
- Hợp đồng thuê 1 năm trở lên

📞 Liên hệ zalo chính chủ để xem phòng.",2 ngày trước,https://gateway.chotot.com/v1/public/ad-listing/131064296,2026-05-14T16:52:22
nhatot,"Khu an ninh, thuận tiện di chuyển  gần biển, ga tàu",4390000,"4,39 triệu/tháng",20,Quận Thanh Khê,Phường Xuân Hà,"16.0711989,108.1942499","Dự án: 
Thông tin chi tiết: Full nội thất 
Đầu tháng 6 trống 
LH *** Kieu Tien để liên hệ xem phòng kẻo lỡ",3 ngày trước,https://gateway.chotot.com/v1/public/ad-listing/132329341,2026-05-14T16:52:22
nhatot,Phòng trọ sau lưng bệnh viện 600 giường,2000000,2 triệu/tháng,20,Quận Ngũ Hành Sơn,Phường Khuê Mỹ,"16.0302205,108.2525802","Phòng trọ ngay sau lưng bệnh viện viện 600 giường, mặt tiền đường nhựa. Khu vực an ninh cao, có khu vực để xe riêng, camera an ninh.",3 ngày trước,https://gateway.chotot.com/v1/public/ad-listing/132325827,2026-05-14T16:52:22
nhatot,Cho thuê chung cư mini tại Hoà Khánh gần cầu Ngã Ba Huế,4500000,"4,5 triệu/tháng",35,Quận Liên Chiểu,Phường Hòa Minh,"16.0630512,108.1658379","Dự án: 
Thông tin chi tiết: Cho thuê chung cư mini tại Hoà Minh gần cầu Ngã Ba Huế
Vị trí: đường Tô Hiệu

- Đầy đủ nội thất tủ lạnh điều hoà nóng lạnh bàn ghế

- Có thang máy

- Nhà xe
-Thanh toán linh hoạt 

- Giá thuê từ 4-4.7 triệu/ tháng 

Liên hệ *** để em được tư vấn thêm",3 ngày trước,https://gateway.chotot.com/v1/public/ad-listing/132325065,2026-05-14T16:52:22
