source,title,price_vnd,price_text,area_m2,price_per_m2,district,ward,address,description,posted_at,url,crawled_at
phongtro123,"Phòng trọ hộ gia đình Khuê Trung Cẩm Lệ khu an ninh, yên tĩnh",3000000.0,3 triệu/tháng,50.0,60000.0,Cẩm Lệ,,,"Phòng trọ hộ gia đình Khuê Trung Cẩm Lệ khu an ninh, yên tĩnh 3 triệu/tháng 50 m 2 Cẩm Lệ, Đà Nẵng Vị trí : K97/46 Cách mạng tháng 8Trung tâm Quận Cẩm Lệ, gần Metro, khu vui chơi giải trí, bệnh viện...?:-Diện tích: 45-50m2-Phòng có gác lửng thuận tiên… 4 năm trước",,https://phongtro123.com/phong-tro-ho-gia-dinh-khue-trung-cam-le-pr587471.html,2026-05-15T11:08:09
phongtro123,"Phòng trọ cho thuê Đường Thanh Vinh 10, Phường Hòa Khánh Bắc, Quận Liên Chiểu",1100000.0,1.1 triệu/tháng,22.0,50000.0,Liên Chiểu,,,"Phòng trọ cho thuê Đường Thanh Vinh 10, Phường Hòa Khánh Bắc, Quận Liên Chiểu 1.1 triệu/tháng 22 m 2 Liên Chiểu, Đà Nẵng Cho thuê phòng trọ sạch sẽ thích hợp cho hộ gia đình ở lâu dài, WC riêng ,an ninh trật tự, có wi-fi.Địa chỉ: 237 Đường Thanh Vinh 10, Phường Hòa Khánh… 4 năm trước",,https://phongtro123.com/phong-tro-cho-thue-jdjdjdjdjdjdj-pr587405.html,2026-05-15T11:08:09
phongtro123,"Cho thuê căn hộ đầy đủ tiện nghi Lê Đình Lý, Hải Châu",3000000.0,3 triệu/tháng,30.0,100000.0,Hải Châu,,,"Cho thuê căn hộ đầy đủ tiện nghi Lê Đình Lý, Hải Châu 3 triệu/tháng 30 m 2 Hải Châu, Đà Nẵng Cho thuê phòng trọ đầy đủ tiện nghi mới vừa xây xong, có đầy đủ đồ, ảnh thật phòng nha- Tủ Lạnh lớn dùng loại tiết kiệm điện, máy giặt lồng… 5 năm trước",,https://phongtro123.com/cho-thue-can-ho-day-du-tien-nghi-le-dinh-ly-hai-chau-pr587351.html,2026-05-15T11:08:09
phongtro123,CHO THUÊ PHÒNG TRỌ ĐÀ NẴNG ĐỐI DIỆN BỆNH VIỆN TÂM TRÍ,2200000.0,2.2 triệu/tháng,25.0,88000.0,Cẩm Lệ,,,"CHO THUÊ PHÒNG TRỌ ĐÀ NẴNG ĐỐI DIỆN BỆNH VIỆN TÂM TRÍ 2.2 triệu/tháng 25 m 2 Cẩm Lệ, Đà Nẵng ️️GÓC CHO THUÊ TRỌ️️Trọ mới xây đường CMT8 - Hoà Cường Nam Vị trí: Đường CÁCH MẠNG THÁNG 8 Gần cầu Tiên Sơn, cầu Hoà Xuân Chỉ cách ĐH… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-da-nang-doi-dien-benh-vien-tam-tri-pr587120.html,2026-05-15T11:08:09
phongtro123,"Cho Thuê Nhà Trọ Sinh Viên (Sát Trường Cđ Thương Mại, Đại Học Thể Dục Thể Thao)",1000000.0,1 triệu/tháng,16.0,62500.0,Thanh Khê,,,"Cho Thuê Nhà Trọ Sinh Viên (Sát Trường Cđ Thương Mại, Đại Học Thể Dục Thể Thao) 1 triệu/tháng 16 m 2 Thanh Khê, Đà Nẵng Cho thuê nhà trọ sinh viên (sát trường cđ thương mại, đại học thể dục thể thao)địa chỉ 45b/24b Dũng Sĩ Thanh Khê diện tích 16m2 / 1 phòng, giá 1000k/1 phòng.… 5 năm trước",,https://phongtro123.com/cho-thue-nha-tro-sinh-vien-sat-truong-cd-thuong-mai-dai-hoc-the-duc-the-thao-pr586886.html,2026-05-15T11:08:09
phongtro123,TÒA TRỌ GÁC LỬNG 2.000.000 GẦN ĐẠI HỌC KIẾN TRÚC,2000000.0,2 triệu/tháng,25.0,80000.0,Cẩm Lệ,,,"TÒA TRỌ GÁC LỬNG 2.000.000 GẦN ĐẠI HỌC KIẾN TRÚC 2 triệu/tháng 25 m 2 Cẩm Lệ, Đà Nẵng PHÒNG TRỌ MỚI, GIÁ LẠI CỰC RẺ [Chỉ từ 2.000.000]------Vị trí: Đường Chế Viết Tấn, gần cầu Hoà Xuân, khu đảo Vip.Gần… 5 năm trước",,https://phongtro123.com/toa-tro-gac-lung-2-000-000-gan-dai-hoc-kien-truc-pr586722.html,2026-05-15T11:08:09
phongtro123,Cho thuê phòng trọ Khuê Trung - 1.5 trieu/tháng.,1500000.0,1.5 triệu/tháng,15.0,100000.0,Cẩm Lệ,,,"Cho thuê phòng trọ Khuê Trung - 1.5 trieu/tháng. 1.5 triệu/tháng 15 m 2 Cẩm Lệ, Đà Nẵng Diên tich 15m vuong, có cửa sổ, cho nấu ăn, tắm giặt và vệ sinh khép kín, bên ngoài có chỗ để xe máy, phơi đồ. Trong phòng đã trang bị giường, quạt, kệ… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-khue-trung-1-5-trieu-thang-pr586676.html,2026-05-15T11:08:09
phongtro123,Cho thuê phòng trọ gần trung tâm,1900000.0,1.9 triệu/tháng,15.0,126666.66666666667,Thanh Khê,,,"Cho thuê phòng trọ gần trung tâm 1.9 triệu/tháng 15 m 2 Thanh Khê, Đà Nẵng Cho thuê phòng trọ tại K19/43 Mai Xuân Thưởng. Không ở cùng chủ, có gác đúc, khu dân cư an ninh, gần trung tâm. Có khu để xe máy, chỗ phơi đồ thuận tiện.… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-gan-trung-tam-pr586643.html,2026-05-15T11:08:09
phongtro123,"Cho thuê phòng trọ, chỗ ở an ninh tại Quận Liên Chiểu, Đà Nẵng",1200000.0,1.2 triệu/tháng,20.0,60000.0,Liên Chiểu,,,"Cho thuê phòng trọ, chỗ ở an ninh tại Quận Liên Chiểu, Đà Nẵng 1.2 triệu/tháng 20 m 2 Liên Chiểu, Đà Nẵng cho thuê phòng trọ diện tích 20-25m2 có toilet riêng, bếp, chỗ để xe phù hợp cho sinh viên, người đi làm 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-cho-o-an-ninh-pr586588.html,2026-05-15T11:08:09
phongtro123,CHO THUÊ PHÒNG TRỌ TRUNG TÂM THÀNH PHỐ GIÁ MỀM,1700000.0,1.7 triệu/tháng,20.0,85000.0,Hải Châu,,,"CHO THUÊ PHÒNG TRỌ TRUNG TÂM THÀNH PHỐ GIÁ MỀM 1.7 triệu/tháng 20 m 2 Hải Châu, Đà Nẵng Có phòng trọ cho thuê tại đường Hoàn Diệu, thành phố Đà Nẵng. Giá mềm. Riêng biệt. Ngay trung tâm thành phố, thuận tiện đi lại. Liên hệ 0905233079. Cảm… 5 năm trước",,https://phongtro123.com/cho-thue-phong-tro-trung-tam-thanh-pho-gia-mem-pr586547.html,2026-05-15T11:08:09
